open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
7686.93,7739.8,7627.0,7683.18,3525.785109,2018-04-12 08:59:59.999000-05:00,27100168.75596322,1662.304104,12783168.49650023,0.066331625,0.072413936,0.0060823113
7683.18,7735.94,7577.0,7644.0,2964.576258,2018-04-12 09:59:59.999000-05:00,22728795.69090939,1410.340431,10818352.82748815,0.06744114,0.073284976,0.005843833
7644.0,7650.0,7582.31,7614.21,2132.633589,2018-04-12 10:59:59.999000-05:00,16251647.87015787,1214.426837,9254197.75500371,0.06815873,0.07252318,0.004364446
7618.0,7625.0,7542.0,7619.0,2314.600659,2018-04-12 11:59:59.999000-05:00,17579942.68209593,1212.220074,9211533.93080974,0.06878438,0.07260408,0.003819704
7619.0,7775.0,7607.36,7688.0,3034.18377,2018-04-12 12:59:59.999000-05:00,23357822.41538867,1622.83776,12497107.9343999,0.069284305,0.071989916,0.0027056113
7688.0,7709.95,7642.01,7689.89,1373.067622,2018-04-12 13:59:59.999000-05:00,10549403.16077003,782.620793,6014799.8753145,0.06988785,0.07298574,0.0030978918
7688.67,7768.0,7680.0,7700.0,1525.62255,2018-04-12 14:59:59.999000-05:00,11765882.17350521,767.66355,5920552.46399293,0.07062787,0.073513664,0.0028857961
7699.97,7778.0,7694.05,7738.01,1201.266469,2018-04-12 15:59:59.999000-05:00,9285591.15370326,659.225262,5096132.4443137,0.07126654,0.074092485,0.0028259456
7739.0,7945.0,7720.0,7851.0,2833.551877,2018-04-12 16:59:59.999000-05:00,22222204.95004591,1328.132514,10414464.60229255,0.07192513,0.07430655,0.0023814142
7853.0,7890.3,7716.19,7890.0,2272.454868,2018-04-12 17:59:59.999000-05:00,17756275.31052775,1146.990084,8965091.98129287,0.07252884,0.07470192,0.002173081
7890.0,7986.1,7851.2,7923.0,2535.717479,2018-04-12 18:59:59.999000-05:00,20055934.03275493,1278.953576,10121898.6672909,0.07322067,0.07464387,0.0014232025
7922.99,7994.96,7790.0,7900.94,2952.467445,2018-04-12 19:59:59.999000-05:00,23353830.49245405,1459.502026,11547168.50723038,0.07397386,0.07670088,0.0027270243
7900.0,7909.0,7732.0,7793.22,1828.480039,2018-04-12 20:59:59.999000-05:00,14309435.97702007,909.325409,7120029.04612287,0.07457326,0.07576843,0.00119517
7793.22,7916.87,7791.68,7895.0,1847.895341,2018-04-12 21:59:59.999000-05:00,14521740.52535327,1015.571812,7983477.00902382,0.07510095,0.07488475,0.00021620095
7410.09,7432.63,6859.64,6860.25,14635.970299,2018-10-15 02:59:59.999000-05:00,104501789.3647947,6939.937831,49617092.19484686,0.0563505,0.059103645,0.002753146
6860.25,6965.6,6801.1,6828.3,7323.873761,2018-10-15 03:59:59.999000-05:00,50422050.03095262,3793.245837,26108710.70777418,0.057441846,0.061593506,0.004151661
6828.92,6866.61,6722.0,6860.84,4066.427721,2018-10-15 04:59:59.999000-05:00,27660746.76113905,1803.291325,12267449.09508634,0.058065355,0.060701594,0.002636239
6861.49,6960.0,6835.94,6931.96,3035.701982,2018-10-15 05:59:59.999000-05:00,20930667.43495305,1515.659717,10453578.02897202,0.058430597,0.05949643,0.0010658316
6931.96,7091.41,6920.0,6982.28,5930.631219,2018-10-15 06:59:59.999000-05:00,41490384.9858235,2703.825338,18902353.03041753,0.05888906,0.061232414,0.002343353
6982.28,6999.0,6911.48,6934.97,3194.982076,2018-10-15 07:59:59.999000-05:00,22231997.66491484,1829.99542,12735291.54648749,0.05922529,0.06251315,0.0032878593
6933.99,6970.0,6902.0,6950.54,2498.006447,2018-10-15 08:59:59.999000-05:00,17338441.21075384,1359.560209,9437151.85884173,0.059776887,0.06238334,0.0026064515
6948.39,6950.55,6844.52,6861.32,3501.631959,2018-10-15 09:59:59.999000-05:00,24173368.49431002,1884.146701,13008049.94655941,0.060203686,0.0622389,0.0020352155
6861.32,6920.0,6856.54,6907.01,2199.13158,2018-10-15 10:59:59.999000-05:00,15148632.18411871,1302.203293,8969244.47446641,0.060463443,0.061363142,0.0008996986
6906.03,6958.94,6900.0,6927.49,2014.769422,2018-10-15 11:59:59.999000-05:00,13957008.65493185,1204.907772,8346833.24253317,0.060863823,0.061546277,0.00068245456
6926.0,6940.0,6862.93,6878.67,1935.648287,2018-10-15 12:59:59.999000-05:00,13354647.57385981,1168.326118,8060932.17728428,0.06130682,0.062208433,0.0009016134
6878.0,6900.0,6785.0,6812.57,2498.001672,2018-10-15 13:59:59.999000-05:00,17105614.78916953,1362.666974,9333361.92952917,0.0616815,0.061643634,3.7867576e-05
6812.57,6825.01,6737.23,6741.0,2418.078371,2018-10-15 14:59:59.999000-05:00,16402699.21004884,1358.017644,9212501.16506224,0.06190198,0.060456295,0.0014456846
6741.0,6771.31,6687.07,6708.0,2475.767535,2018-10-15 15:59:59.999000-05:00,16661674.04655275,1363.990328,9180897.63815717,0.06206519,0.059728473,0.0023367181
6708.0,6735.0,6650.0,6658.47,1837.368407,2018-10-15 16:59:59.999000-05:00,12283335.21753921,930.870657,6224890.79765048,0.06217715,0.058964238,0.0032129139
6656.95,6753.3,6650.0,6722.86,1926.696963,2018-10-15 17:59:59.999000-05:00,12905915.52602497,1003.945187,6722038.12144976,0.062280074,0.058399443,0.0038806312
6722.88,6783.38,6722.86,6752.5,996.610986,2018-10-15 18:59:59.999000-05:00,6731592.96522542,621.950807,4199838.03814129,0.062384866,0.058399443,0.0039854236
6752.5,6752.76,6708.0,6732.2,692.887271,2018-10-15 19:59:59.999000-05:00,4660752.29225224,316.824547,2131094.29808354,0.06269089,0.059509534,0.003181357
6734.95,6745.78,6690.35,6718.9,905.440949,2018-10-15 20:59:59.999000-05:00,6082060.41870327,368.417602,2474343.52560563,0.062910214,0.059283126,0.003627088
6718.88,6745.0,6710.0,6744.97,497.996418,2018-10-15 21:59:59.999000-05:00,3348997.54599145,289.501316,1947032.91536207,0.063029446,0.059014212,0.0040152334
6744.96,6757.02,6728.1,6730.96,722.318597,2018-10-15 22:59:59.999000-05:00,4870752.53245276,381.75453,2574817.43570108,0.06314139,0.0593136,0.0038277917
6730.97,6741.91,6721.0,6729.92,471.150341,2018-10-15 23:59:59.999000-05:00,3171518.52203878,178.439085,1201468.27599908,0.06317708,0.05958937,0.0035877079
